destination_id,name,state,region,type,styles,best_season,latitude,longitude,source_type,data_status,confidence
dest_dirang_arunachal-pradesh,Dirang,Arunachal Pradesh,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,27.36008,92.24121,kaggle_destination,candidate,0.7
dest_mechuka_arunachal-pradesh,Mechuka,Arunachal Pradesh,Northeastern India,Valley,"[""Nature"",""Photography"",""Adventure"",""Peaceful Retreat""]",October – April,28.59875,94.13358,kaggle_destination,candidate,0.7
dest_namdapha-national-park_arunachal-pradesh,Namdapha National Park,Arunachal Pradesh,Northeastern India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,27.47088,96.55524,kaggle_destination,candidate,0.7
dest_pasighat_arunachal-pradesh,Pasighat,Arunachal Pradesh,Northeastern India,Mountain,"[""Nature"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Summer – Spring,28.05897,95.33249,kaggle_destination,candidate,0.7
dest_roing_arunachal-pradesh,Roing,Arunachal Pradesh,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,28.13685,95.84308,kaggle_destination,candidate,0.7
dest_sangti-valley_arunachal-pradesh,Sangti Valley,Arunachal Pradesh,Northeastern India,Valley,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,27.40345,92.2764,kaggle_destination,candidate,0.7
dest_tawang_arunachal-pradesh,Tawang,Arunachal Pradesh,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,27.58792,91.86373,kaggle_destination,candidate,0.7
dest_ziro-valley_arunachal-pradesh,Ziro Valley,Arunachal Pradesh,Northeastern India,Valley,"[""Nature"",""Culture"",""Photography"",""Peaceful Retreat""]",March – October,27.56981,93.8277,kaggle_destination,candidate,0.7
dest_dibru-saikhowa-national-park_assam,Dibru-Saikhowa National Park,Assam,Northeastern India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,27.68552,95.39475,kaggle_destination,candidate,0.7
dest_digboi_assam,Digboi,Assam,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,27.39561,95.61487,kaggle_destination,candidate,0.7
dest_guwahati_assam,Guwahati,Assam,,city,,,,,kaggle_place_city,candidate,0.6
dest_haflong_assam,Haflong,Assam,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,25.18251,92.8984,kaggle_destination,candidate,0.7
dest_hajo_assam,Hajo,Assam,Northeastern India,Village,"[""Nature"",""Spiritual"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Summer – Spring,26.23598,91.54235,kaggle_destination,candidate,0.7
dest_kaziranga_assam,Kaziranga,Assam,,city,,,,,kaggle_place_city,candidate,0.6
dest_majuli_assam,Majuli,Assam,,city,,,,,kaggle_place_city,candidate,0.6
dest_majuli-island_assam,Majuli Island,Assam,Northeastern India,Island,"[""Culture"",""Nature"",""Photography"",""Peaceful Retreat""]",November – March,27.0129,94.27469,kaggle_destination,candidate,0.7
dest_manas_assam,Manas,Assam,,city,,,,,kaggle_place_city,candidate,0.6
dest_manas-national-park_assam,Manas National Park,Assam,Northeastern India,Mountain,"[""Nature"",""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,26.72279,90.97789,kaggle_destination,candidate,0.7
dest_mayong-village_assam,Mayong Village,Assam,Northeastern India,Village,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,26.25915,92.04132,kaggle_destination,candidate,0.7
dest_pobitora-wildlife-sanctuary_assam,Pobitora Wildlife Sanctuary,Assam,Northeastern India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,26.2594,91.98477,kaggle_destination,candidate,0.7
dest_sibsagar_assam,Sibsagar,Assam,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,26.98349,94.63942,kaggle_destination,candidate,0.7
dest_sivasagar_assam,Sivasagar,Assam,,city,,,,,kaggle_place_city,candidate,0.6
dest_sualkuchi_assam,Sualkuchi,Assam,Northeastern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,26.16991,91.57085,kaggle_destination,candidate,0.7
dest_tezpur_assam,Tezpur,Assam,Northeastern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,26.62299,92.79761,kaggle_destination,candidate,0.7
dest_umrangso_assam,Umrangso,Assam,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,25.5737,92.82166,kaggle_destination,candidate,0.7
dest_barabar-caves_bihar,Barabar Caves,Bihar,Eastern India,Village,"[""Heritage"",""Culture"",""Photography"",""Offbeat""]",October – March,25.018,85.062,kaggle_destination,candidate,0.7
dest_bodh-gaya_bihar,Bodh Gaya,Bihar,,city,,,,,kaggle_place_city,candidate,0.6
dest_patna_bihar,Patna,Bihar,,city,,,,,kaggle_place_city,candidate,0.6
dest_rohtasgarh-fort_bihar,Rohtasgarh Fort,Bihar,Eastern India,Trek,"[""Heritage"",""Adventure"",""Trek"",""Photography""]",October – March,24.6333,83.9167,kaggle_destination,candidate,0.7
dest_telhar-kund_bihar,Telhar Kund,Bihar,Eastern India,Valley,"[""Nature"",""Adventure"",""Photography"",""Waterfalls""]",August – February,24.9667,83.5833,kaggle_destination,candidate,0.7
dest_valmiki-nagar_bihar,Valmiki Nagar,Bihar,Eastern India,Valley,"[""Nature"",""Wildlife"",""Adventure"",""Offbeat""]",November – April,27.4286,83.9167,kaggle_destination,candidate,0.7
dest_vikramshila_bihar,Vikramshila,Bihar,Eastern India,Village,"[""Heritage"",""Culture"",""Photography"",""Peaceful Retreat""]",October – March,25.3,87.275,kaggle_destination,candidate,0.7
dest_barnawapara-wildlife-sanctuary_chhattisgarh,Barnawapara Wildlife Sanctuary,Chhattisgarh,Central India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,21.4,82.46389,kaggle_destination,candidate,0.7
dest_bastar_chhattisgarh,Bastar,Chhattisgarh,,city,,,,,kaggle_place_city,candidate,0.6
dest_bhoramdeo-temple_chhattisgarh,Bhoramdeo Temple,Chhattisgarh,Central India,Village,"[""Spiritual"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Winter – Spring,22.11544,81.14826,kaggle_destination,candidate,0.7
dest_chitrakote-falls_chhattisgarh,Chitrakote Falls,Chhattisgarh,Central India,Mountain,"[""Nature"",""Photography"",""Adventure""]",July to October & November to February,19.2008,81.7667,kaggle_destination,candidate,0.7
dest_dantewada-temples_chhattisgarh,Dantewada Temples,Chhattisgarh,Central India,Village,"[""Spiritual"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Winter – Spring,18.9,81.339,kaggle_destination,candidate,0.7
dest_ghatarani-waterfalls_chhattisgarh,Ghatarani Waterfalls,Chhattisgarh,Central India,Village,"[""Spiritual"",""Nature"",""Trekking""]",July to October,20.8927,82.0125,kaggle_destination,candidate,0.7
dest_kanger-valley-national-park_chhattisgarh,Kanger Valley National Park,Chhattisgarh,Central India,Valley,"[""Nature"",""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,18.83398,82.02011,kaggle_destination,candidate,0.7
dest_kutumsar-caves_chhattisgarh,Kutumsar Caves,Chhattisgarh,Central India,Mountain,"[""Nature"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Winter – Spring,18.9142,81.8653,kaggle_destination,candidate,0.7
dest_mainpat_chhattisgarh,Mainpat,Chhattisgarh,Central India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,22.79646,83.30619,kaggle_destination,candidate,0.7
dest_sirpur-group-of-monuments_chhattisgarh,Sirpur Group of Monuments,Chhattisgarh,Central India,Village,"[""Culture"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,21.34522,82.18481,kaggle_destination,candidate,0.7
dest_tirathgarh-falls_chhattisgarh,Tirathgarh Falls,Chhattisgarh,Central India,Village,"[""Nature"",""Adventure"",""Travel""]",July to February,18.9142,81.8647,kaggle_destination,candidate,0.7
dest_diu-island_dadra-and-nagar-haveli-and-daman-and-diu,Diu Island,Dadra and Nagar Haveli and Daman and Diu,Western India,Island,"[""Heritage"",""Beach"",""Culture"",""Relaxed Escape""]",October – March,20.7144,70.9822,kaggle_destination,candidate,0.7
dest_dudhani-lake_dadra-and-nagar-haveli-and-daman-and-diu,Dudhani Lake,Dadra and Nagar Haveli and Daman and Diu,Western India,Village,"[""Nature"",""Culture"",""Relaxed Escape"",""Water Sports""]",November – March,20.125,73.023,kaggle_destination,candidate,0.7
dest_moti-daman_dadra-and-nagar-haveli-and-daman-and-diu,Moti Daman,Dadra and Nagar Haveli and Daman and Diu,Western India,Village,"[""Heritage"",""Culture"",""Beach"",""Relaxed Escape""]",October – March,20.4078,72.8361,kaggle_destination,candidate,0.7
dest_diu_daman-and-diu,Diu,Daman and Diu,,city,,,,,kaggle_place_city,candidate,0.6
dest_delhi_delhi,Delhi,Delhi,,city,,,,,kaggle_place_city,candidate,0.6
dest_new-delhi_delhi,New Delhi,Delhi,,city,,,,,kaggle_place_city,candidate,0.6
dest_cabo-de-rama-fort_goa,Cabo de Rama Fort,Goa,Western India,Village,"[""Culture"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Winter – Spring,15.08741,73.91993,kaggle_destination,candidate,0.7
dest_chorao-island_goa,Chorao Island,Goa,Western India,Island,"[""Nature"",""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,15.53939,73.88467,kaggle_destination,candidate,0.7
dest_chorla-ghat_goa,Chorla Ghat,Goa,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,15.64963,74.11913,kaggle_destination,candidate,0.7
dest_cola-beach_goa,Cola Beach,Goa,Western India,Beach,"[""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,15.05925,73.97015,kaggle_destination,candidate,0.7
dest_cotigao-wildlife-sanctuary_goa,Cotigao Wildlife Sanctuary,Goa,Western India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,14.96116,74.15125,kaggle_destination,candidate,0.7
dest_divar-island_goa,Divar Island,Goa,Western India,Island,"[""Nature"",""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,15.52509,73.90782,kaggle_destination,candidate,0.7
dest_goa_goa,Goa,Goa,,city,,,,,kaggle_place_city,candidate,0.6
dest_kakolem-beach_goa,Kakolem Beach,Goa,Western India,Beach,"[""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,15.07292,73.95484,kaggle_destination,candidate,0.7
dest_netravali-wildlife-sanctuary_goa,Netravali Wildlife Sanctuary,Goa,Western India,Mountain,"[""Nature"",""Adventure"",""Wildlife""]",October to March & June to September (monsoon beauty),15.0886,74.2185,kaggle_destination,candidate,0.7
dest_querim-beach_goa,Querim Beach,Goa,Western India,Beach,"[""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,15.71279,73.6916,kaggle_destination,candidate,0.7
dest_tambdi-surla_goa,Tambdi Surla,Goa,Western India,Village,"[""Culture"",""Spiritual"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Winter – Spring,15.44343,74.2454,kaggle_destination,candidate,0.7
dest_ahmedabad_gujarat,Ahmedabad,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_bhuj_gujarat,Bhuj,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_champaner_gujarat,Champaner,Gujarat,Western India,Village,"[""Culture"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,22.48481,73.53437,kaggle_destination,candidate,0.7
dest_dholavira_gujarat,Dholavira,Gujarat,Western India,Village,"[""Culture"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,23.87501,70.21796,kaggle_destination,candidate,0.7
dest_dwarka_gujarat,Dwarka,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_gandhinagar_gujarat,Gandhinagar,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_girmal-falls_gujarat,Girmal Falls,Gujarat,Western India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,20.7588,73.6886,kaggle_destination,candidate,0.7
dest_idar_gujarat,Idar,Gujarat,Western India,Village,"[""Culture"",""Spiritual"",""Nature"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Winter – Spring,23.83623,73.01146,kaggle_destination,candidate,0.7
dest_junagadh_gujarat,Junagadh,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_kevadia_gujarat,Kevadia,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_lakhpat_gujarat,Lakhpat,Gujarat,Western India,Village,"[""Culture"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,23.82689,68.77516,kaggle_destination,candidate,0.7
dest_little-rann-of-kutch_gujarat,Little Rann of Kutch,Gujarat,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,23.36334,71.07183,kaggle_destination,candidate,0.7
dest_mandvi-beach_gujarat,Mandvi Beach,Gujarat,Western India,Beach,"[""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,22.82561,69.33807,kaggle_destination,candidate,0.7
dest_narara-marine-national-park_gujarat,Narara Marine National Park,Gujarat,Western India,Beach,"[""Wildlife"",""Nature"",""Adventure""]",November to February (check tide tables),22.4632,69.9324,kaggle_destination,candidate,0.7
dest_palitana_gujarat,Palitana,Gujarat,Western India,Village,"[""Nature"",""Spiritual"",""Meditation"",""Temple Visit"",""Heritage Walk"",""Photography""]",Winter – Spring,21.52361,71.82196,kaggle_destination,candidate,0.7
dest_patan_gujarat,Patan,Gujarat,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,23.77375,71.67986,kaggle_destination,candidate,0.7
dest_polo-forest_gujarat,Polo Forest,Gujarat,Western India,Mountain,"[""Nature"",""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,23.98804,73.31491,kaggle_destination,candidate,0.7
dest_rann-of-kutch_gujarat,Rann of Kutch,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_saputara_gujarat,Saputara,Gujarat,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,20.57967,73.74789,kaggle_destination,candidate,0.7
dest_somnath_gujarat,Somnath,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_tarnetar_gujarat,Tarnetar,Gujarat,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,22.64583,71.21333,kaggle_destination,candidate,0.7
dest_vadodara_gujarat,Vadodara,Gujarat,,city,,,,,kaggle_place_city,candidate,0.6
dest_vijaynagar_gujarat,Vijaynagar,Gujarat,Western India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,22.42285,70.76818,kaggle_destination,candidate,0.7
dest_wilson-hills_gujarat,Wilson Hills,Gujarat,Western India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,20.50811,73.35631,kaggle_destination,candidate,0.7
dest_farrukhnagar_haryana,Farrukhnagar,Haryana,Northern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,28.46722,76.82537,kaggle_destination,candidate,0.7
dest_gurugram_haryana,Gurugram,Haryana,,city,,,,,kaggle_place_city,candidate,0.6
dest_morni-hills_haryana,Morni Hills,Haryana,Northern India,Mountain,"[""Nature"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Summer – Spring,30.70466,76.95447,kaggle_destination,candidate,0.7
dest_pinjore-gardens_haryana,Pinjore Gardens,Haryana,Northern India,Mountain,"[""Nature"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Summer – Spring,30.79234,76.91175,kaggle_destination,candidate,0.7
dest_sultanpur-national-park_haryana,Sultanpur National Park,Haryana,Northern India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,28.46001,76.88897,kaggle_destination,candidate,0.7
dest_tikkar-taal_haryana,Tikkar Taal,Haryana,Northern India,Village,"[""Culture"",""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,30.65672,77.08026,kaggle_destination,candidate,0.7
dest_tilyar-lake_haryana,Tilyar Lake,Haryana,Northern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,28.87889,76.63583,kaggle_destination,candidate,0.7
dest_barot_himachal-pradesh,Barot,Himachal Pradesh,Northern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,32.03773,76.84521,kaggle_destination,candidate,0.7
dest_bir-billing_himachal-pradesh,Bir Billing,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_chamba_himachal-pradesh,Chamba,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_chitkul_himachal-pradesh,Chitkul,Himachal Pradesh,Northern India,Village,"[""Nature"",""Photography"",""Peaceful Retreat"",""Adventure""]",May – October,31.35179,78.43591,kaggle_destination,candidate,0.7
dest_gushaini_himachal-pradesh,Gushaini,Himachal Pradesh,Northern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,31.63733,77.42758,kaggle_destination,candidate,0.7
dest_janjehli_himachal-pradesh,Janjehli,Himachal Pradesh,Northern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,31.52411,77.22089,kaggle_destination,candidate,0.7
dest_jibhi_himachal-pradesh,Jibhi,Himachal Pradesh,Northern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,31.59228,77.35262,kaggle_destination,candidate,0.7
dest_kalpa_himachal-pradesh,Kalpa,Himachal Pradesh,Northern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,31.57779,78.22861,kaggle_destination,candidate,0.7
dest_kangra_himachal-pradesh,Kangra,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_kaza_himachal-pradesh,Kaza,Himachal Pradesh,Northern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,32.22438,78.07226,kaggle_destination,candidate,0.7
dest_keylong_himachal-pradesh,Keylong,Himachal Pradesh,Northern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,32.57134,77.03452,kaggle_destination,candidate,0.7
dest_kinnaur_himachal-pradesh,Kinnaur,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_kufri_himachal-pradesh,Kufri,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_kullu_himachal-pradesh,Kullu,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_malana_himachal-pradesh,Malana,Himachal Pradesh,Northern India,Village,"[""Culture"",""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,32.0618,77.26002,kaggle_destination,candidate,0.7
dest_manali_himachal-pradesh,Manali,Himachal Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
